NomeCliente;EnderecoCompleto;ValorFatura;NumeroPaginas
Cliente Ficticio 231;AV PRES WILSON,   174, BL PLAZA, APT 94 11065201  SANTOS SP ;21754;4;
Cliente Ficticio 232;R PAIS DE LINHARES,    48 03524010  SAO PAULO SP ;19822;4;
Cliente Ficticio 233;AL INGA,   262, BL A, APT 801 34000000  BELO HORIZONTE MG ;29762;4;
Cliente Ficticio 234;R MELVIN JONES,   150, ED ERICO VERISSIMO, APT 301 88802230  CRICIUMA SC ;4989;4;
Cliente Ficticio 235;AV MAJ DARIO ALVES DE CARVALHO,   295 14810130  ARARAQUARA SP ;11473;4;
Cliente Ficticio 236;R FORTUNATO,   253, APT 41 01224030  SAO PAULO SP ;38126;4;
Cliente Ficticio 237;R PACO DO LUMIAR,   381, BL 3, APT 31 03820140  SAO PAULO SP ;17009;4;
Cliente Ficticio 238;AV AUGUSTO SEVERO,   172, CASA A 20021040  RIO DE JANEIRO RJ ;87053;4;
Cliente Ficticio 239;R MAL DEODORO,   505, APT 91 13300110  ITU SP ;18656;4;
Cliente Ficticio 241;AV DR WASHINGTON LUIS,   429, APT 32 09618040  SAO BERNARDO DO CAMPO SP ;2989;4;
Cliente Ficticio 242;R ALZIRA DE ARAUJO SOUZA,   168 83326140  PINHAIS PR ;9974;4;
Cliente Ficticio 243;EST DO RIO GRANDE,  2034, BL 2, APT 711 22720011  RIO DE JANEIRO RJ ;28357;4;
Cliente Ficticio 244;R AGUAS DE LINDOIA,    82, FU 06223160  OSASCO SP ;10558;4;
Cliente Ficticio 245;R ARAUJO LEITE QUADRA,1853,FD 17015341  BAURU SP ;5439;4;
Cliente Ficticio 246;R PE BENTO LUSTOSA,    65, BL A, APT 42 03590210  SAO PAULO SP ;10903;4;
Cliente Ficticio 247;R LUIZ RAZERA,1270,BL A, APT 54 13417530  PIRACICABA SP ;34710;4;
Cliente Ficticio 248;R ESCORPIAO,   550, BL 46, APT 43 08330570  SAO PAULO SP ;16601;4;
Cliente Ficticio 249;R PRES JOAO GOULART,210 06422010  BARUERI SP ;10336;4;
Cliente Ficticio 250;R PRTA EZEQUIEL,   285 13458084  SANTA BARBARA D OESTE SP ;26322;4;
