NomeCliente;EnderecoCompleto;ValorFatura;NumeroPaginas
Cliente Ficticio 734;AV MACEIO,   682, CASA 01 07252010  GUARULHOS SP ;0;4;
Cliente Ficticio 770;R SANSAO,   175, CASA A 30881160  BELO HORIZONTE MG ;0;4;
Cliente Ficticio 806;R PEDRO DE TOLEDO,    27 14080107  RIBEIRAO PRETO SP ;0;4;
Cliente Ficticio 842;R JOAQUIM JOSE DA SILVA XAVIER,130,APT: 01 03904100  SAO PAULO SP ;0;4;
Cliente Ficticio 878;R PERO CORREA,    15, APT 53 11320140  SAO VICENTE SP ;0;4;
Cliente Ficticio 914;R CESAR PENA RAMOS,   151 02563000  SAO PAULO SP ;0;4;
Cliente Ficticio 950;R ATTILA BROTERO DE ASSIS,   330, CASA 1 12426050  PINDAMONHANGABA SP ;0;4;
Cliente Ficticio 986;R ANA GERTRUDES VIEIRA,   456 08040250  SAO PAULO SP ;0;4;
Cliente Ficticio 1022;R BARBARA DE CASTILHO,    99 21921110  RIO DE JANEIRO RJ ;0;4;
Cliente Ficticio 1058;R FELIPE CAMARAO,384 16015590  ARACATUBA SP ;0;4;
Cliente Ficticio 1094;TV JOAO BATISTA CORTES,    13 03283123  SAO PAULO SP ;0;4;
Cliente Ficticio 1130;R VASCONCELOS TAVARES,    25, SALA 21 11010110  SANTOS SP ;0;4;
Cliente Ficticio 1166;R TUIUTI,  1224 03081012  SAO PAULO SP ;0;4;
Cliente Ficticio 1202;R ALVORADA,    81, APT 124 04550000  SAO PAULO SP ;0;4;
Cliente Ficticio 1238;R BRAZ CUBAS,    71 04109040  SAO PAULO SP ;0;4;
Cliente Ficticio 1274;R JESUINO PASCOAL,    90, APT 73 01224050  SAO PAULO SP ;0;4;
Cliente Ficticio 1310;R FRANCISCO DE PAULA RIBEIRO,    10, FD 11020350  SANTOS SP ;0;4;
Cliente Ficticio 1346;R ARARIPE,   364, CASA 02 21775140  RIO DE JANEIRO RJ ;0;4;
Cliente Ficticio 1382;R LAMARTINE BABO,   460 18053070  SOROCABA SP ;0;4;
Cliente Ficticio 1418;R MIGUEL DE OLIVEIRA,   180, / A 08062040  SAO PAULO SP ;0;4;
Cliente Ficticio 1454;R EDWARD SIMOES,   120, FT 12220530  SAO JOSE DOS CAMPOS SP ;0;4;
Cliente Ficticio 1490;R PE AGOSTINIANO,  1915 14401380  FRANCA SP ;0;4;
Cliente Ficticio 1526;R FRANCISCO REBELO,527,CASA 3 03212000  SAO PAULO SP ;0;4;
Cliente Ficticio 1562;R FREDERICO CHIENI,   155, FT 13272152  VALINHOS SP ;0;4;
Cliente Ficticio 1598;R STA FLORA,   165, BL 1, APT 54 01549040  SAO PAULO SP ;0;4;
